Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
blr.wnd,BLR,wnd,2018,9,99,11.301369863013699,11.301369863013699,11.940696934228633,1,0.9464581443833258,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
blr.sol,BLR,sol,2018,15,177,154,20.205479452054796,19.90116155704772,0.08746960801755323,0.676860975983227,0,0.07744859670739546,0,0,0.07744859670739546,965
blr.hyd,BLR,hyd,2018,28,324,95.1,36.986301369863014,37.14883490648907,0.388920098526425,0.9956248012344079,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
blr.ore,BLR,ore,2018,27,75,0,8.561643835616438,35.82209080268589,NA,NA,0,NA,NA,NA,NA,NA
blr.ore,BLR,ore,2018,27,75,0,8.561643835616438,35.82209080268589,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
blr.bio,BLR,bio,2018,149,131,600,14.954337899543379,197.68487146667402,0.05183152587519026,0.157315606876659,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bol.coa,BOL,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bol.nga,BOL,nga,2018,1547,6794,1786.79,775.5707762557078,2052.4731285835214,0.4401297909281001,0.38315703050161426,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bol.oil,BOL,oil,2018,68,94,30,10.730593607305936,90.21859905861632,0.8062157534246576,0.26808743269251417,0,NA,NA,NA,NA,NA
bol.nuc,BOL,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
bol.wnd,BOL,wnd,2018,5,59,27,6.735159817351598,6.633720519015907,0.3561352105530187,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bol.sol,BOL,sol,2018,11,127,70,14.497716894977168,14.594185141834993,0.15780642530984998,0.7569076083613792,0,0.07744859670739546,0,0,0.07744859670739546,965
bol.hyd,BOL,hyd,2018,225,2612,690.23,298.17351598173514,298.51742335571583,0.43179743473768945,0.9983991554953529,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bol.ore,BOL,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
